Month,Total_Sales
2014-01,42710.70
2014-02,13559.76
2014-03,167073.12
2014-04,84886.05
2014-05,70944.84
2014-06,103785.42
2014-07,101839.11
2014-08,83728.41
2014-09,245332.02
2014-10,94360.11
2014-11,235886.22
2014-12,208636.92
2015-01,54522.24
2015-02,35854.20
2015-03,116178.78
2015-04,102585.75
2015-05,90395.16
2015-06,74391.93
2015-07,86295.96
2015-08,110694.96
2015-09,193787.61
2015-10,94214.70
2015-11,227917.53
2015-12,224758.56
2016-01,55627.56
2016-02,68936.46
2016-03,155147.58
2016-04,116250.12
2016-05,170963.25
2016-06,121033.62
2016-07,117785.97
2016-08,93346.05
2016-09,220230.27
2016-10,179063.40
2016-11,238236.09
2016-12,290997.21
2017-01,131914.11
2017-02,60903.36
2017-03,176617.05
2017-04,109564.56
2017-05,132783.24
2017-06,158945.19
2017-07,135793.29
2017-08,189362.55
2017-09,263599.98
2017-10,233330.88
2017-11,355343.43
2017-12,251487.93
